CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
C26,25,,Malignant neoplasm of other digestive organs and ill-defined locations in the digestive tract,C26   Neopl malig outr mal def aparelho digestivo,C26 Neopl Malig othe evil def digestive tract,,Neoplasia maligna de outros �_rg̣os digestivos e de localiza̵̤es mal definidas no aparelho digestivo,
C30,26,,Malignant neoplasm of nasal cavity and middle ear,C30   Neopl malig cavidade nasal e do ouvido medio,C30 Neopl Malig nasal cavity and middle ear,,Neoplasia maligna da cavidade nasal e do ouvido m̩dio,
C31,26,,Malignant neoplasm of the sinuses,C31   Neopl malig dos seios da face,C31 Neopl Malig of the sinuses,,Neoplasia maligna dos seios da face,
C32,26,,Malignant neoplasm of the larynx,C32   Neopl malig da laringe,C32 Neopl Malig larynx,,Neoplasia maligna da laringe,
C33,26,,Malignant neoplasm of trachea,C33   Neopl malig da traqueia,C33 Neopl trachea Malig,,Neoplasia maligna da traqu̩ia,
C34,26,,Malignant neoplasm of bronchus and lung,C34   Neopl malig dos bronquios e dos pulmoes,C34 Neopl Malig of the bronchi and lungs,,Neoplasia maligna dos br̫nquios e dos pulm̵es,
C37,26,,Malignant neoplasm of thymus,C37   Neopl malig do timo,C37 Neopl thymus Malig,,Neoplasia maligna do timo,
C38,26,,"Malignant neoplasm of heart, mediastinum and pleura",C38   Neopl malig do coracao mediastino e pleura,C38 Neopl Malig mediastinal pleura and heart,,"Neoplasia maligna do cora̤̣o, mediastino e pleura",
C39,26,,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,C39   Neop mal out loc mal def ap resp org intrat,C39 Neophema evil October loc evil def ap resp org intrat,,Neoplasia maligna de outras localiza̵̤es e de localiza̵̤es mal definidas do aparelho respirat�_rio e dos �_rg̣os intrator��cicos,
C40,27,,Malignant neoplasm of bone and articular cartilage of limbs,C40   Neopl malig ossos/cartilag artic membros,C40 Neopl Malig bones / cartilag artic members,,Neoplasia maligna dos ossos e cartilagens articulares dos membros,
C41,27,,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,C41   Neopl malig ossos/cartil artic outr loc e NE,C41 Neopl Malig bones / CARTIL artic othe loc and NE,,Neoplasia maligna dos ossos e das cartilagens articulares de outras localiza̵̤es e de localiza̵̤es ṇo especificadas,
C43,28,,Malignant melanomas,C43   Melanoma malig da pele,C43 Melanoma skin Malig,,Melanoma maligno da pele,
C44,28,,Other malignant neoplasms of the skin,C44   Outr neopl malig da pele,C44 othe neopl Malig skin,,Outras neoplasias malignas da pele,
C45,29,,Mesothelioma,C45   Mesotelioma,C45 Mesothelioma,,Mesotelioma,
C46,29,,Kaposi's sarcoma,C46   Sarcoma de Kaposi,C46 Kaposi's sarcoma,,Sarcoma de Kaposi,
C47,29,,Malignant neoplasm of peripheral nerves and autonomic nervous system,C47   Neopl malig nervos perif e sist nerv autonom,C47 Neopl Malig peripherally nerves and nerv syst autonom,,Neoplasia maligna dos nervos perif̩ricos e do sistema nervoso aut̫nomo,
C48,29,,Malignant neoplasm of soft tissue of retroperitoneum and peritoneum,C48   Neopl malig tec moles retro- e peritonio,C48 Neopl Malig tec soft backlighting and peritoneum,,Neoplasia maligna dos tecidos moles do retroperit̫nio e do perit̫nio,
C49,29,,Malignant neoplasm of connective tissue and other soft tissues,C49   Neopl malig tec conjuntivo e outr tec moles,C49 Neopl Malig connective soft tec tec and othe,,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles,
C50,30,,Malignant neoplasm of breast,C50   Neopl malig da mama,C50 Neopl breast Malig,,Neoplasia maligna da mama,
C51,31,,Malignant neoplasm of the vulva,C51   Neopl malig da vulva,C51 Neopl Malig the vulva,,Neoplasia maligna da vulva,
C52,31,,Malignant neoplasm of the vagina,C52   Neopl malig da vagina,C52 Neopl Malig the vagina,,Neoplasia maligna da vagina,
C53,31,,Malignant neoplasm of the cervix,C53   Neopl malig do colo do utero,C53 Neopl Malig the cervix,,Neoplasia maligna do colo do ̼tero,
C54,31,,Malignant neoplasm of the uterine body,C54   Neopl malig do corpo do utero,C54 Neopl Malig the uterus body,,Neoplasia maligna do corpo do ̼tero,
C55,31,,"Malignant neoplasm of the uterus, part unspecified",C55   Neopl malig do utero porcao NE,C55 Neopl Malig the uterus porcao NE,,"Neoplasia maligna do ̼tero, por̤̣o ṇo especificada",
C56,31,,Malignant neoplasm of the ovary,C56   Neopl malig do ovario,C56 Neopl Malig the ovary,,Neoplasia maligna do ov��rio,
C57,31,,Malignant neoplasm of other female genitals and unspecified,C57   Neopl malig outr org genitais femin e NE,C57 Neopl Malig othe femal genital org and NE,,Neoplasia maligna de outros �_rg̣os genitais femininos e dos ṇo especificados,
C58,31,,Malignant neoplasm of placenta,C58   Neopl malig da placenta,C58 Neopl Malig placenta,,Neoplasia maligna da placenta,
C60,32,,Malignant neoplasm of penis,C60   Neopl malig do penis,C60 Neopl Malig penis,,Neoplasia maligna do p̻nis,
C61,32,,Malignant neoplasm of prostate,C61   Neopl malig da prostata,C61 Neopl Malig prostate,,Neoplasia maligna da pr�_stata,
C62,32,,Malignant neoplasm of the testicles,C62   Neopl malig dos testiculos,C62 Neopl Malig the testicles,,Neoplasia maligna dos test�_culos,
C63,32,,Malignant neoplasm of other male genital organs and unspecified,C63   Neopl malig outr org genit masc e NE,C63 Neopl Malig othe org genit Male and NE,,Neoplasia maligna de outros �_rg̣os genitais masculinos e dos ṇo especificados,
C64,33,,"Malignant neoplasm of kidney, except renal pelvis",C64   Neopl malig do rim exceto pelve renal,C64 Neopl Malig kidney except renal pelvis,,"Neoplasia maligna do rim, exceto pelve renal",
C65,33,,Malignant neoplasm of renal pelvis,C65   Neopl malig da pelve renal,C65 Neopl Malig the renal pelvis,,Neoplasia maligna da pelve renal,
C66,33,,Malignant neoplasm of the ureters,C66   Neopl malig dos ureteres,C66 Neopl Malig the ureters,,Neoplasia maligna dos ureteres,
C67,33,,Malignant neoplasm of the bladder,C67   Neopl malig da bexiga,C67 Neopl Malig bladder,,Neoplasia maligna da bexiga,
C68,33,,Malignant neoplasm of other urinary organs and unspecified,C68   Neopl malig de outr orgaos urinarios e NE,C68 Neopl Malig of othe urinary organs and NE,,Neoplasia maligna de outros �_rg̣os urin��rios e dos ṇo especificados,
C69,34,,Malignant neoplasm of eye and adnexa,C69   Neopl malig do olho e anexos,C69 Neopl Malig eye and attachments,,Neoplasia maligna do olho e anexos,
C70,34,,Malignant neoplasm of meninges,C70   Neopl malig das meninges,C70 Neopl Malig of the meninges,,Neoplasia maligna das meninges,
C71,34,,Malignant neoplasm of the brain,C71   Neopl malig do encefalo,C71 Neopl Malig the encefalo,,Neoplasia maligna do enc̩falo,
C72,34,,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72   Neop mal med esp nerv cran out sist nerv cen,C72 Neophema evil med esp nerv nerv syst cran October cen,,"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central",
C73,35,,Malignant neoplasm of the thyroid gland,C73   Neopl malig da gland tireoide,C73 Neopl Malig the thyroid gland,,Neoplasia maligna da gl̢ndula tire�_ide,
C74,35,,Malignant neoplasm of the adrenal gland [adrenal gland],C74   Neopl malig da gland supra-renal,C74 Neopl Malig adrenal gland,,Neoplasia maligna da gl̢ndula supra-renal [Gl̢ndula adrenal],
C75,35,,Malignant neoplasm of other endocrine glands and related structures,C75   Neopl malig outr gland endocrinas estr relac,C75 Neopl Malig othe endocrine gland Weird RELAC,,Neoplasia maligna de outras gl̢ndulas end�_crinas e de estruturas relacionadas,
C76,36,,Malignant neoplasm of other and ill-defined sites,C76   Neopl malig outr localiz e mal definidas,C76 Neopl Malig othe see Location and ill-defined,,Neoplasia maligna de outras localiza̵̤es e de localiza̵̤es mal definidas,
C77,36,,"Secondary malignant neoplasm and lymph nodes, unspecified",C77   Neopl malig secund e NE gangl linfaticos,C77 Neopl Malig secondary and lymph NE Gangl,,Neoplasia maligna secund��ria e ṇo especificada dos g̢nglios linf��ticos,
C78,36,,Secondary malignant neoplasm of respiratory and digestive organs,C78   Neopl malig secund org respirat e digestivos,C78 Neopl Malig secondary org Respiratory and digestive,,Neoplasia maligna secund��ria dos �_rg̣os respirat�_rios e digestivos,
C79,36,,Secondary malignant neoplasm of other sites,C79   Neopl malig secund de outr localiz,C79 Neopl Malig secondary for othe see Location,,Neoplasia maligna secund��ria de outras localiza̵̤es,
C80,36,,Malignant neoplasm without specification of site,C80   Neopl malig s/especificacao de localiz,C80 Neopl Malig s / specification to see Location,,"Neoplasia maligna, sem especifica̤̣o de localiza̤̣o",
C81,37,,Hodgkin's disease,C81   Doenc de Hodgkin,C81 Thyroid Disease of Hodgkin,,Doen̤a de Hodgkin,
C82,37,,"Non-Hodgkin's lymphoma, follicular (nodular)",C82   Linfoma nao-Hodgkin folicular,C82 follicular non-Hodgkin's lymphoma,,"Linfoma ṇo-Hodgkin, folicular (nodular)",
C83,37,,Diffuse non-Hodgkin lymphoma,C83   Linfoma nao-Hodgkin difuso,C83 diffuse non-Hodgkin lymphoma,,Linfoma ṇo-Hodgkin difuso,
C84,37,,Lymphomas of cutaneous and peripheral T cells,C84   Linfomas de celulas T cutaneas e perifericas,T-cell lymphomas C84 Peripheral and cutaneous,,Linfomas de c̩lulas T cut̢neas e perif̩ricas,
C85,37,,Non-Hodgkin's lymphoma and other types of unspecified type,C85   Linfoma nao-Hodgkin de outr tipos e tipo NE,C85 non-Hodgkin lymphoma othe types and type NE,,Linfoma ṇo-Hodgkin de outros tipos e de tipo ṇo especificado,
C88,37,,Immunoproliferative malignant diseases,C88   Doenc imunoproliferativas malignas,C88 Malignant Thyroid Disease immunoproliferative,,Doen̤as imunoproliferativas malignas,
C90,37,,Multiple myeloma and malignant plasma cells,C90   Mieloma mult e neopl malig de plasmocitos,C90 Multi Myeloma and Malig neopl of plasma cells,,Mieloma m̼ltiplo e neoplasias malignas de plasm�_citos,
C91,37,,Lymphoblastic leukemia,C91   Leucemia linfoide,C91 lymphoid leukemia,,Leucemia linf�_ide,
C92,37,,Myeloid Leukemia,C92   Leucemia mieloide,C92 myeloid leukemia,,Leucemia miel�_ide,
C93,37,,Monocytic leukemia,C93   Leucemia monocitica,C93 monocytic leukemia,,Leucemia monoc�_tica,
C94,37,,Other leukemias of specified cell type,C94   Outr leucemias de celulas de tipo espec,C94 othe leukemia spec type of cells,,Outras leucemias de c̩lulas de tipo especificado,
C95,37,,Cell type of leukemia unspecified,C95   Leucemia de tipo celular NE,C95 cell type leukemia NE,,Leucemia de tipo celular ṇo especificado,
C96,37,,"Other malignancies and unspecified of lymphoid, haematopoietic and related tissue",C96   Outr neopl mal e NE tec linf hematop e corr,C96 othe neopl evil and NE tec Lymphoma hematop and corr,,"Outras neoplasias malignas e as ṇo especificadas dos tecidos linf��tico, hematopo̩tico e tecidos correlatos",
C97,38,,Malignant neoplasms of independent multiple locations (primary),C97   Neopl malig de localiz mult independentes,C97 Neopl Malig independent mult see Location,,Neoplasias malignas de localiza̵̤es m̼ltiplas independentes (prim��rias),
D00,39,,"Carcinoma in situ of oral cavity, esophagus and stomach",D00   Carcinoma in situ cav oral esofago estomago,D00 Carcinoma in situ oral cav esophagus stomach,,"Carcinoma in situ da cavidade oral, do es̫fago e do est̫mago",
D01,39,,Carcinoma in situ of other digestive organs,D01   Carcinoma in situ de outr orgaos digestivos,D01 Carcinoma in situ of othe digestive organs,,Carcinoma in situ de outros �_rg̣os digestivos,
D02,39,,Carcinoma in situ of middle ear and respiratory system,D02   Carcinoma in situ ouvido medio e ap respirat,D02 Carcinoma in situ and medio heard ap Respiratory,,Carcinoma in situ do ouvido m̩dio e do aparelho respirat�_rio,
D03,39,,Melanoma in situ,D03   Melanoma in situ,D03 melanoma in situ,,Melanoma in situ,
D04,39,,Carcinoma in situ skin,D04   Carcinoma in situ da pele,D04 skin carcinoma in situ,,Carcinoma in situ da pele,
D05,39,,Breast carcinoma in situ,D05   Carcinoma in situ da mama,D05 Breast Carcinoma in situ,,Carcinoma in situ da mama,
D06,39,,Carcinoma in situ of the cervix (cervix),D06   Carcinoma in situ do colo do utero,D06 Carcinoma in situ of the cervix,,Carcinoma in situ do colo do ̼tero (c̩rvix),
D07,39,,Carcinoma in situ of other genitals and unspecified,D07   Carcinoma in situ outr orgaos genitais e NE,"D07 Carcinoma in situ othe genitals, and NE",,Carcinoma in situ de outros �_rg̣os genitais e dos ṇo especificados,
D09,39,,Carcinoma in situ of other and unspecified,D09   Carcinoma in situ de outr localiz e das NE,D09 Carcinoma in situ othe see Location and NE,,Carcinoma in situ de outras localiza̵̤es e das ṇo especificadas,
D10,40,,Benign neoplasm of mouth and pharynx,D10   Neopl benig da boca e da faringe,D10 Neopl benig the mouth and pharynx,,Neoplasia benigna da boca e da faringe,
D11,40,,Benign neoplasm of major salivary glands,D11   Neopl benig de gland salivares maiores,D11 Neopl benig of major salivary gland,,Neoplasia benigna de gl̢ndulas salivares maiores,
D12,40,,"Benign neoplasm of colon, rectum, anus and anal canal",D12   Neopl benig do colon reto canal anal e anus,D12 Neopl benig the colon rectum anus and anal canal,,"Neoplasia benigna do c�_lon, reto, canal anal e ̢nus",
D13,40,,Benign neoplasm of other and ill-defined parts of digestive system,D13   Neopl benig outr part e mal def ap digestivo,D13 Neopl benig othe part and ill def digestive ap,,Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo,
D14,40,,Benign neoplasm of middle ear and respiratory system,D14   Neopl benig ouvido medio e aparelho respirat,D14 Neopl benig middle ear and Respiratory apparatus,,Neoplasia benigna do ouvido m̩dio e do aparelho respirat�_rio,
D15,40,,Benign neoplasm of other intrathoracic organs and unspecified,D15   Neopl benig outr orgaos intratoracicos e NE,D15 Neopl benig othe intrathoracic organs and NE,,Neoplasia benigna de outros �_rg̣os intrator��cicos e dos ṇo especificados,
D16,40,,Benign neoplasm of bone and articular cartilage,D16   Neopl benig de osso e cartilagem articular,D16 Neopl benig of bone and articular cartilage,,Neoplasia benigna de osso e de cartilagem articular,
D17,40,,Benign lipomatous neoplasm,D17   Neopl lipomatosa benig,D17 Neopl lipomatosa benig,,Neoplasia lipomatosa benigna,
D18,40,,Hemangioma and lymphangioma any location,D18   Hemangioma e linfangioma de qualquer localiz,D18 hemangioma and lymphangioma of any see Location,,Hemangioma e linfangioma de qualquer localiza̤̣o,
D19,40,,Benign neoplasm of mesothelial tissue,D19   Neopl benig de tec mesotelial,D19 Neopl benig tce mesothelial,,Neoplasia benigna de tecido mesotelial,
D20,40,,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,D20   Neopl benig tec mole retro- e peritonio,D20 Neopl benig tec soft backlighting and peritoneum,,Neoplasia benigna de tecido mole do retroperit̫nio e do perit̫nio,
D21,40,,Other benign tumors of connective tissue and other soft tissues,D21   Outr neopl benig tec conj e outr tec moles,D21 othe neopl benig tec conj and othe soft tec,,Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles,
D22,40,,Melanocytic nevi,D22   Nevos melanociticos,D22 melanocytic nevi,,Nevos melanoc�_ticos,
D23,40,,Other benign skin tumors,D23   Outr neopl benig da pele,D23 othe neopl benig skin,,Outras neoplasias benignas da pele,
D24,40,,Benign breast neoplasm,D24   Neopl benig da mama,D24 Neopl benig breast,,Neoplasia benigna da mama,
D25,40,,Leiomyoma of the uterus,D25   Leiomioma do utero,D25 leiomyoma of the uterus,,Leiomioma do ̼tero,
D26,40,,Other benign tumors of the uterus,D26   Outr neopl benig do utero,D26 othe neopl benig the uterus,,Outras neoplasias benignas do ̼tero,
D27,40,,Neoplasms benign ovarian,D27   Neopl benig do ovario,D27 Neopl benig the ovary,,Neoplasia benigna do ov��rio,
D28,40,,Benign neoplasm of other female genital organs and bodies not specified,D28   Neopl benig outr org genitais femin e NE,D28 Neopl benig othe femal genital org and NE,,Neoplasia benigna de outros �_rg̣os genitais femininos e de �_rg̣os ṇo especificados,
D29,40,,Benign neoplasm of male genital organs,D29   Neopl benig dos orgaos genitais masc,D29 Neopl benig the genitals Male,,Neoplasia benigna dos �_rg̣os genitais masculinos,
D30,40,,Benign neoplasm of urinary organs,D30   Neopl benig dos orgaos urinarios,D30 Neopl benig of urinary organs,,Neoplasia benigna dos �_rg̣os urin��rios,
D31,40,,Benign neoplasm of eye and adnexa,D31   Neopl benig do olho e anexos,D31 Neopl benig eye and attachments,,Neoplasia benigna do olho e anexos,
D32,40,,Benign neoplasm of meninges,D32   Neopl benig das meninges,D32 Neopl benig meninges,,Neoplasia benigna das meninges,
D33,40,,Benign neoplasm of brain and other parts of central nervous system,D33   Neopl benig encef e out part sist nerv centr,D33 Neopl benig encephalitis and out of part nerv syst centr,,Neoplasia benigna do enc̩falo e de outras partes do sistema nervoso central,
D34,40,,Benign neoplasm of the thyroid gland,D34   Neopl benig da gland tireoide,D34 Neopl benig the thyroid gland,,Neoplasia benigna da gl̢ndula tire�_ide,
D35,40,,Benign neoplasm of other endocrine glands and unspecified,D35   Neopl benig de outr gland endocrinas e NE,D35 Neopl benig of othe endocrine gland and NE,,Neoplasia benigna de outras gl̢ndulas end�_crinas e das ṇo especificadas,
